AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A700710,Buck,2015-04-30 16:08:00,Adoption,,Dog,Neutered Male,10 months,Chihuahua Shorthair Mix,Black/White
A673180,Chuck,2014-02-25 14:12:00,Transfer,Partner,Cat,Neutered Male,5 years,Domestic Longhair Mix,Cream Tabby
A655529,Rhino,2013-11-11 11:48:00,Transfer,Partner,Dog,Neutered Male,1 year,Boxer/Pit Bull,White/Tan
A661681,Annie,2014-04-20 15:44:00,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
A688232,Sally,2014-10-01 15:08:00,Transfer,Partner,Dog,Spayed Female,5 years,Labrador Retriever Mix,White
A711132,Stomper,2015-09-03 18:24:00,Return_to_owner,,Dog,Neutered Male,2 years,Basset Hound Mix,White/Tricolor
A653745,Silvercloud,2015-03-10 17:51:00,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Blue/White
A677663,Riley,2014-05-09 12:44:00,Adoption,,Dog,Intact Female,2 months,Greater Swiss Mountain Dog Mix,Tricolor/White
A662260,Todd,2013-12-24 12:54:00,Transfer,Partner,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black
A696877,Rufus,2015-03-11 19:24:00,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Chocolate/White
A706462,,2015-06-29 13:51:00,Died,,Cat,Unknown,1 week,Domestic Shorthair Mix,Orange Tabby
A698392,Chief,2015-03-14 17:13:00,Return_to_owner,,Dog,Neutered Male,7 months,German Shepherd,Sable/Black
A714805,Dolly,2016-01-11 17:50:00,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
A706293,Nana,2015-07-01 18:15:00,Adoption,,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Brown
A674384,Sofie,2014-03-29 16:12:00,Adoption,,Dog,Spayed Female,4 years,Border Collie Mix,White/Black
A717683,Tabitha,2016-01-18 16:18:00,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby
A699961,Lil Bear,2015-04-19 12:22:00,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown/Tan
A682808,,2014-07-07 18:39:00,Adoption,,Dog,Neutered Male,4 months,German Shepherd Mix,Chocolate/Tan
A683239,X,2014-07-18 15:46:00,Transfer,Partner,Cat,Intact Female,5 years,Domestic Shorthair Mix,Torbie/White
A718343,,2016-01-03 16:44:00,Transfer,Partner,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,Brown/Black
A716587,,2015-11-25 20:20:00,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tricolor
A673190,Charlotte,2014-03-30 12:28:00,Adoption,,Cat,Spayed Female,1 year,Domestic Longhair Mix,Brown Tabby
A716113,,2015-11-20 12:30:00,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Torbie/White
A668579,Chico,2013-12-21 15:56:00,Transfer,Partner,Dog,Neutered Male,10 months,Chihuahua Shorthair Mix,Chocolate/White
A703745,Coco,2015-05-30 18:10:00,Return_to_owner,,Dog,Spayed Female,12 years,Labrador Retriever/Doberman Pinsch,Chocolate/Tan
A701935,,2015-05-06 16:31:00,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
A700318,Charles,2015-07-01 11:21:00,Transfer,Partner,Dog,Neutered Male,6 years,Pit Bull Mix,Brown Brindle/White
A675162,Pequena,2014-03-25 12:41:00,Return_to_owner,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie
A710969,Dax,2015-09-09 15:23:00,Return_to_owner,,Dog,Neutered Male,6 years,Dachshund/Bull Terrier,Brown
A624128,Kitty Kitty,2015-05-05 13:52:00,Transfer,Partner,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Orange Tabby
A717681,,2015-12-16 19:40:00,Transfer,SCRP,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
A598610,Ellie,2013-12-07 15:40:00,Adoption,,Dog,Spayed Female,3 years,Australian Kelpie Mix,Black Brindle
A703207,Toffee,2015-09-08 16:12:00,Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Sable
A664460,,2013-10-05 12:36:00,Transfer,Partner,Dog,Intact Male,15 years,Dachshund Mix,Brown
A715778,Sugar,2015-11-16 14:16:00,Transfer,Partner,Cat,Spayed Female,1 year,Siamese Mix,Tortie Point/Lynx Point
A652148,Rocky,2015-08-01 12:59:00,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair,Orange Tabby/White
A664238,,2013-10-01 16:47:00,Euthanasia,Medical,Cat,Unknown,4 months,American Shorthair Mix,Black/White
A680703,,2014-06-06 14:39:00,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Calico
A709491,Bambi,2015-08-20 17:25:00,Adoption,,Dog,Spayed Female,5 months,Pit Bull Mix,Fawn
A665427,,2013-10-20 13:37:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue
A703769,Loki,2015-05-30 18:26:00,Return_to_owner,,Dog,Neutered Male,2 years,German Shepherd Mix,Tricolor
A677811,Raven,2014-05-16 13:02:00,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A682522,Pixie,2014-07-22 18:02:00,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A692294,,2014-11-18 15:33:00,Transfer,Partner,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,Brown Brindle/Black
A689172,,2014-09-30 15:49:00,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
A704507,,2015-06-09 18:35:00,Adoption,,Dog,Neutered Male,10 months,Miniature Schnauzer Mix,Black/Buff
A665277,Coco,2013-10-19 17:37:00,Adoption,,Dog,Spayed Female,1 month,Rat Terrier Mix,Tricolor
A696688,Mari,2015-11-03 12:24:00,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico/White
A668537,Eedo,2013-12-09 17:01:00,Transfer,Partner,Dog,Neutered Male,1 year,Miniature Pinscher Mix,Black/Tan
A719180,Nobbs,2016-01-18 18:11:00,Adoption,,Dog,Neutered Male,7 months,Cardigan Welsh Corgi Mix,White/Black
A701145,,2015-04-25 09:00:00,Transfer,SCRP,Cat,Neutered Male,7 years,Domestic Medium Hair,Black/White
A675076,Max,2014-05-10 12:20:00,Adoption,,Dog,Neutered Male,5 years,Rottweiler Mix,Black/Tan
A670686,Jules,2014-01-18 12:41:00,Return_to_owner,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Black
A712447,Mj,2015-10-02 18:04:00,Adoption,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Tan/White
A709748,,2015-08-24 11:23:00,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,White
A660633,Willow,2014-11-03 11:52:00,Return_to_owner,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
A704382,Sky,2015-08-09 14:59:00,Adoption,,Dog,Spayed Female,2 years,Pit Bull/Boxer,Blue/White
A711799,,2015-09-12 14:28:00,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
A690875,Domino,2014-11-08 14:24:00,Transfer,Partner,Dog,Spayed Female,6 months,Labrador Retriever/Border Collie,Black/White
A720699,Harvey Dent,2016-02-21 14:56:00,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,White/Brown Brindle
A659671,Carter,2013-10-10 17:49:00,Return_to_owner,,Dog,Neutered Male,1 year,Redbone Hound Mix,Red
A689295,Shakespeare,2014-10-08 14:17:00,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A676272,,2014-06-01 16:09:00,Adoption,Offsite,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue
A700942,,2015-04-21 18:10:00,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White/Black
A704786,Pickles,2015-07-30 11:03:00,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A657732,Bella,2014-05-03 18:33:00,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tricolor
A689773,Lucy,2014-10-10 18:32:00,Adoption,,Dog,Spayed Female,2 months,Beagle Mix,White/Orange
A716390,Bullet,2015-11-29 14:27:00,Return_to_owner,,Dog,Intact Male,5 months,Bull Terrier,Brown Brindle/White
A706292,Rusty,2015-07-08 15:19:00,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Brown/White
A704607,Midnight,2015-06-07 14:58:00,Return_to_owner,,Dog,Spayed Female,15 years,Pembroke Welsh Corgi Mix,Black
A661608,Molly,2015-05-30 11:01:00,Return_to_owner,,Dog,Spayed Female,2 years,Jack Russell Terrier,Tricolor
A694229,Pete,2014-12-27 13:38:00,Return_to_owner,,Dog,Neutered Male,1 year,Dachshund,Black/Brown
A685370,Dixon,2014-08-11 18:30:00,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A719518,Batman,2016-01-26 17:21:00,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Black Tabby
A660979,Mia,2015-09-23 16:45:00,Transfer,Partner,Dog,Spayed Female,4 years,Toy Poodle/Maltese,White
A670251,,2014-01-05 19:28:00,Transfer,SCRP,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Brown Tabby
A690816,Chrissie,2014-11-25 18:54:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A699217,Joey,2015-03-28 13:11:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A711514,Dakota,2015-10-17 00:00:00,Adoption,Foster,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Blue Merle/White
A717544,,2015-12-14 19:33:00,Transfer,SCRP,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black/White
A663135,Max,2013-10-17 09:05:00,Adoption,Foster,Dog,Neutered Male,5 years,German Shepherd Mix,Brown/Black
A702673,Rocko,2015-05-21 17:03:00,Adoption,,Dog,Neutered Male,2 months,Australian Cattle Dog Mix,Brown Merle
A615299,Buddy,2014-06-28 16:53:00,Adoption,,Dog,Neutered Male,4 years,Bullmastiff Mix,Brown/White
A676330,Bella,2014-09-17 17:31:00,Adoption,Foster,Dog,Spayed Female,6 months,Smooth Fox Terrier Mix,Tan
A715435,,2015-11-07 18:46:00,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,White/Brown
A703886,,2015-06-11 16:28:00,Transfer,Partner,Dog,Spayed Female,2 months,German Shepherd Mix,Brown/Black
A702355,,2015-05-25 14:13:00,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Calico Point
A695421,Percy,2015-01-26 14:55:00,Transfer,Barn,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Black
A668094,Savannah,2014-01-18 12:42:00,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Black Brindle/White
A702219,Daphnie,2015-05-12 18:19:00,Return_to_owner,,Dog,Spayed Female,12 years,Yorkshire Terrier Mix,Tan/Gray
A718558,Rocko,2016-01-04 15:39:00,Return_to_owner,,Dog,Neutered Male,8 years,Lhasa Apso Mix,Black/White
A689461,Walker,2014-10-26 12:18:00,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A689417,Franky,2014-10-16 11:21:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A381173,Pepper,2014-08-06 17:12:00,Return_to_owner,,Dog,Spayed Female,14 years,Labrador Retriever Mix,Brown/White
A671681,,2014-01-30 13:14:00,Transfer,SCRP,Cat,Unknown,2 years,Domestic Longhair Mix,Black/White
A717485,,2015-12-23 18:53:00,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Torbie/White
A682194,Shimi,2014-06-26 09:33:00,Return_to_owner,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico
A712523,,2015-09-24 18:24:00,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black
A672179,Spike,2014-02-07 17:31:00,Return_to_owner,,Dog,Neutered Male,2 years,Catahoula Mix,Blue Merle/Brown
A687539,Eponine,2014-10-21 08:35:00,Adoption,Foster,Cat,Spayed Female,2 months,Siamese Mix,Lynx Point
A667726,,2013-11-25 17:53:00,Adoption,,Dog,Neutered Male,3 months,Labrador Retriever Mix,Black/White
A680459,Blynken,2014-07-13 17:05:00,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A708822,Jack,2015-08-03 11:25:00,Transfer,Partner,Dog,Intact Male,4 years,Shih Tzu/Maltese,White/Blue
A693633,Shadow,2014-12-16 17:09:00,Return_to_owner,,Dog,Neutered Male,1 year,Scottish Terrier/Miniature Poodle,Black/White
A673847,Steamer,2014-03-09 11:42:00,Transfer,Partner,Dog,Neutered Male,12 years,Cocker Spaniel Mix,Black/Brown
A712880,Jonse,2016-01-11 14:44:00,Return_to_owner,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby
A679941,,2014-06-05 14:17:00,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Red/White
A689633,,2014-10-09 09:00:00,Transfer,SCRP,Cat,Unknown,4 months,Domestic Shorthair Mix,Blue
A719100,Max,2016-01-17 17:08:00,Return_to_owner,,Dog,Neutered Male,10 months,Anatol Shepherd Mix,Tan/Black
A686405,,2014-08-21 14:15:00,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby/White
A669144,Russell,2013-12-24 12:55:00,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Longhair Mix,Blue Tabby
A662398,Buddy,2013-11-01 15:23:00,Adoption,,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Tan/White
A691456,Willy,2014-12-23 08:42:00,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue Tabby/White
A705702,Tiger,2015-06-21 09:00:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A696760,Chance,2015-02-11 16:55:00,Euthanasia,Suffering,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black/White
A676987,Skyler,2015-06-16 15:02:00,Adoption,,Dog,Spayed Female,1 year,German Shepherd/Labrador Retriever,Black Brindle/White
A693553,Darrell,2014-12-14 16:29:00,Transfer,Partner,Dog,Neutered Male,4 years,Pug Mix,Fawn
A670356,Siren,2014-01-11 18:07:00,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Brown/Tan
A710801,,2015-09-04 19:07:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A669918,,2014-01-03 17:47:00,Adoption,,Dog,Spayed Female,3 months,Labrador Retriever Mix,Tan/White
A680773,,2014-06-07 17:15:00,Transfer,Partner,Dog,Unknown,2 days,Dachshund Mix,Black
A717560,Milo,2016-01-29 15:50:00,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
A705708,,2015-07-08 16:57:00,Return_to_owner,,Cat,Intact Female,2 years,Domestic Longhair Mix,Torbie
A715218,Tyra,2015-11-17 00:00:00,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
A698184,Dolley,2015-05-29 15:37:00,Transfer,Partner,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White
A696479,Chocolate,2015-02-15 11:39:00,Adoption,,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Black
A715618,,2015-11-10 00:00:00,Transfer,Partner,Dog,Intact Male,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
A696866,Jewel,2015-02-21 16:49:00,Adoption,Offsite,Dog,Spayed Female,5 years,Maltese Mix,White
A588258,Diamond,2016-01-02 12:34:00,Adoption,Foster,Dog,Spayed Female,8 years,German Shepherd Mix,Black/Tan
A669845,Smokey,2014-01-09 17:18:00,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A718473,Tator Tots,2016-01-05 13:20:00,Transfer,Partner,Cat,Neutered Male,5 years,Siamese Mix,Seal Point
A689355,Watson,2014-10-12 18:00:00,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black
A703464,,2015-05-25 10:32:00,Euthanasia,Suffering,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown Tabby
A710367,Lasienaga,2015-08-30 13:57:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A704361,Nala,2015-07-09 17:40:00,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie
A702052,,2015-05-09 09:00:00,Transfer,SCRP,Cat,Unknown,2 months,Domestic Medium Hair Mix,Black/White
A711241,Nigel,2015-10-15 18:07:00,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
A649865,Ruffles,2014-01-30 15:28:00,Return_to_owner,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
A706342,Lois,2015-07-18 16:08:00,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/White
A708139,Swoberdie,2015-08-02 11:40:00,Return_to_owner,,Dog,Neutered Male,7 years,Labrador Retriever Mix,Black
A700748,,2015-04-20 14:21:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A703226,Princess,2015-05-31 17:01:00,Return_to_owner,,Dog,Spayed Female,2 years,Dachshund Mix,Brown
A681025,Simone,2014-06-20 16:16:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red/White
A707249,Hunter,2015-07-28 14:15:00,Transfer,Partner,Dog,Intact Male,7 years,German Shepherd,Sable
A710621,Gabby,2015-10-16 12:38:00,Adoption,Foster,Cat,Spayed Female,2 months,Manx Mix,Brown Tabby/White
A692000,Addy,2014-12-03 17:53:00,Adoption,,Dog,Spayed Female,9 months,Labrador Retriever Mix,Tan
A716162,Joker,2015-11-16 17:37:00,Return_to_owner,,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Black/Brown
A563302,Cypress,2015-10-31 14:57:00,Return_to_owner,,Dog,Neutered Male,6 years,Labrador Retriever,Buff
A712549,Beau,2015-10-14 18:31:00,Adoption,,Dog,Neutered Male,2 years,Beauceron Mix,Black/Tan
A666512,Puffball,2013-12-07 18:54:00,Adoption,,Cat,Neutered Male,8 years,Domestic Medium Hair Mix,Black
A705271,,2015-06-17 12:45:00,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Black/White
A694917,Alphonse,2015-02-02 14:41:00,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A700011,,2015-04-06 14:45:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Blue Tabby
A629077,Queenie,2015-09-18 18:14:00,Return_to_owner,,Dog,Spayed Female,7 years,Pit Bull Mix,White/Brown
A720940,Justin,2016-02-19 17:28:00,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White
A677816,Arty,2014-05-02 16:25:00,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
A689274,Giblet,2014-12-02 07:40:00,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A671142,Francie,2014-02-01 15:14:00,Adoption,,Dog,Spayed Female,2 years,Beagle/Labrador Retriever,Brown/White
A682649,Princess,2014-07-01 18:17:00,Return_to_owner,,Dog,Intact Female,4 months,American Pit Bull Terrier/Chinese Sharpei,Fawn/White
A698639,,2015-03-16 09:00:00,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Longhair Mix,Blue
A681352,Charlotte,2014-07-12 19:46:00,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby
A665782,,2013-11-02 11:41:00,Transfer,Partner,Dog,Spayed Female,4 months,Pit Bull Mix,Tricolor
A685672,Honey,2014-08-20 18:42:00,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan
A713401,Larry,2015-12-14 17:40:00,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A674481,Gracie,2014-03-13 16:30:00,Return_to_owner,,Dog,Spayed Female,4 years,Dachshund Mix,Red Merle/White
A704665,,2015-06-07 19:43:00,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Orange Tabby
A719276,Posh,2016-01-18 19:48:00,Return_to_owner,,Dog,Spayed Female,16 years,Pekingese,White
A707482,,2015-07-18 13:11:00,Transfer,Partner,Dog,Spayed Female,4 months,Dachshund Mix,Brown
A690833,Marmalade,2014-10-28 15:58:00,Euthanasia,Suffering,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,White/Orange Tabby
A681156,,2014-06-17 17:40:00,Adoption,,Dog,Neutered Male,3 months,Chihuahua Shorthair/Dachshund,Tan/White
A673571,,2014-02-26 16:14:00,Euthanasia,Suffering,Dog,Intact Male,2 years,Cardigan Welsh Corgi Mix,Black/White
A718609,Cierra,2016-01-13 13:12:00,Transfer,Partner,Dog,Intact Female,6 years,Chihuahua Shorthair Mix,White/Tan
A702075,Rocky,2015-12-15 16:36:00,Adoption,Foster,Dog,Neutered Male,11 years,Rottweiler/Rhod Ridgeback,Brown/White
A687517,,2014-09-18 14:54:00,Transfer,Partner,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Tortie
A702178,Bailey,2015-05-15 17:29:00,Adoption,,Dog,Spayed Female,2 years,Australian Shepherd Mix,Black/Tricolor
A716493,Missy,2015-11-22 16:33:00,Return_to_owner,,Dog,Spayed Female,9 years,Dachshund Mix,White/Brown
A702230,,2015-05-12 09:00:00,Transfer,SCRP,Cat,Intact Male,2 years,Siamese Mix,Seal Point
A681489,Juni,2014-06-24 16:27:00,Adoption,,Dog,Spayed Female,3 years,Doberman Pinsch,Black/Brown
A690977,Willie,2015-10-23 11:51:00,Adoption,,Dog,Neutered Male,2 years,Pekingese Mix,Tan/White
A676021,,2014-04-03 15:47:00,Transfer,Partner,Cat,Intact Female,3 days,Domestic Shorthair Mix,Black Tabby
A701124,Charlie,2015-05-05 17:37:00,Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White
A619636,Boomer,2014-11-29 18:23:00,Adoption,,Dog,Neutered Male,3 years,Old English Bulldog Mix,White/Brown Brindle
A703329,Persimmon,2015-07-19 18:18:00,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Brown Tabby
A675146,Desmo,2014-03-28 18:28:00,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
A681981,Lucy,2014-06-28 19:04:00,Adoption,,Dog,Spayed Female,2 years,Ibizan Hound Mix,Tan/White
A616489,Lola,2014-10-16 18:47:00,Return_to_owner,,Dog,Spayed Female,3 years,Beagle Mix,Tan/White
A634858,Maggie,2015-04-03 16:27:00,Adoption,,Dog,Spayed Female,3 years,Yorkshire Terrier Mix,Black/Brown
A687010,,2014-08-30 12:59:00,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Orange Tabby
A667185,Arya,2013-12-22 14:58:00,Adoption,,Dog,Spayed Female,2 years,Boston Terrier Mix,Black Brindle/White
A677516,,2014-04-26 11:33:00,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue
A700632,,2015-04-17 18:26:00,Return_to_owner,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Black/White
A719538,Marisella,2016-01-28 11:37:00,Died,In Foster,Cat,Intact Female,6 days,Domestic Longhair Mix,Calico
A666043,Dirk,2014-03-04 14:46:00,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair,Black
A686942,,2014-09-02 16:22:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A692882,Zippy,2014-11-29 09:00:00,Transfer,SCRP,Cat,Neutered Male,6 years,Domestic Longhair Mix,Orange Tabby/White
A685298,Mia,2015-01-18 17:29:00,Adoption,Foster,Cat,Spayed Female,1 year,Siamese Mix,Lynx Point
A718145,Archie,2015-12-31 15:09:00,Return_to_owner,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Tricolor
A694292,Susan,2015-01-09 13:27:00,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A683670,Kylie,2014-07-18 14:53:00,Adoption,,Dog,Spayed Female,6 months,Dachshund/Whippet,Red/White
A702443,,2015-05-19 12:39:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A718264,Maya,2015-12-28 15:15:00,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Red
A690777,Cookie,2014-10-26 15:37:00,Return_to_owner,,Dog,Neutered Male,2 years,Rat Terrier Mix,Tan/White
A680538,Blu,2014-07-20 18:46:00,Adoption,Foster,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby
A673515,Charlie,2014-03-03 16:07:00,Adoption,,Dog,Neutered Male,2 years,Cairn Terrier Mix,Brown Brindle/White
A699843,Hades,2015-04-07 17:12:00,Adoption,,Dog,Neutered Male,4 months,Rottweiler Mix,Black/Tan
A720214,Blessing,2016-02-11 12:41:00,Adoption,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Red/White
A512959,Grif,2014-11-02 11:40:00,Adoption,,Dog,Neutered Male,6 years,German Shepherd Mix,Brown/Black
A668231,Petey,2013-12-31 15:26:00,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair,Black Tabby
A701765,Angel,2015-05-10 12:17:00,Adoption,,Dog,Spayed Female,2 years,Miniature Poodle Mix,White
A701910,Maia,2015-05-17 16:50:00,Euthanasia,Behavior,Dog,Spayed Female,1 year,American Staffordshire Terrier Mix,Blue/White
A666545,,2013-11-05 16:17:00,Transfer,SCRP,Cat,Intact Female,3 years,Domestic Shorthair Mix,Brown Tabby
A713610,Poppi,2015-10-16 00:00:00,Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever/Border Collie,Black/White
A668844,Buster,2013-12-16 18:53:00,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair/Whippet,Brown Brindle
A690349,Bandit,2014-10-20 18:42:00,Return_to_owner,,Dog,Spayed Female,2 years,German Shepherd Mix,Sable
A715704,Happy,2015-11-27 13:45:00,Adoption,,Dog,Neutered Male,2 years,Boxer/Beagle,White/Brown
A704921,Rita,2015-08-16 15:42:00,Adoption,,Dog,Spayed Female,4 months,Brittany/Labrador Retriever,Red
A717068,Lapsidaisy,2016-01-29 18:54:00,Adoption,,Dog,Spayed Female,2 years,Black Mouth Cur/Australian Cattle Dog,Tan
A700295,Robin,2015-09-18 12:38:00,Adoption,,Dog,Spayed Female,10 months,Labrador Retriever/Anatol Shepherd,White/Tricolor
A681421,Milo,2014-07-20 14:32:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A665304,Flynn,2013-10-20 17:46:00,Adoption,,Dog,Neutered Male,2 months,Newfoundland/Australian Cattle Dog,Black/White
A704894,Joy,2015-06-21 16:03:00,Adoption,,Dog,Spayed Female,8 months,Boxer Mix,Brown Brindle
A666505,Sugar,2013-11-04 12:22:00,Return_to_owner,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
A665129,,2013-10-14 12:17:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Orange Tabby
